epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1256,1.57767,3.22686,1.4583,0.00407,0.80488,0.07735,0.02915,1.39367,3.66003,1.34822,2e-05,2e-05,2e-05
2,52.7556,1.43088,3.22588,1.41042,0.00432,0.85366,0.14498,0.08982,1.31586,3.6043,1.29372,5.7624e-05,5.7624e-05,5.7624e-05
3,74.6149,1.62003,3.3661,1.42282,0.00457,0.90244,0.23629,0.16197,1.21748,3.53495,1.23328,9.208e-05,9.208e-05,9.208e-05
4,97.4731,1.53848,2.95345,1.42283,0.00469,0.92683,0.34888,0.21747,1.15987,3.47689,1.21022,0.000123368,0.000123368,0.000123368
5,116.816,1.21677,2.62651,1.17895,0.00469,0.92683,0.39866,0.27847,1.13161,3.37772,1.15245,0.000151488,0.000151488,0.000151488
6,135.792,1.48998,2.5467,1.41117,0.00457,0.90244,0.43613,0.31117,1.14796,3.29368,1.14373,0.00017644,0.00017644,0.00017644
7,154.472,1.3024,1.94505,1.20478,0.08701,0.65854,0.50437,0.36957,1.11321,3.15873,1.11585,0.000198224,0.000198224,0.000198224
8,173.569,1.38212,1.94442,1.273,1,0.35736,0.59423,0.43959,1.11391,3.03985,1.10318,0.00021684,0.00021684,0.00021684
9,192.238,1.22962,1.7938,1.10867,1,0.18992,0.62326,0.446,1.14168,3.01386,1.14248,0.000232288,0.000232288,0.000232288
10,211.3,1.33398,1.67644,1.22594,1,0.09466,0.65109,0.44622,1.12483,3.0024,1.14196,0.000244568,0.000244568,0.000244568
11,231.747,1.34958,1.60374,1.19073,1,0.09388,0.69624,0.46782,1.11264,2.96551,1.10086,0.00025368,0.00025368,0.00025368
12,253.783,1.2258,1.54772,1.22808,1,0.10433,0.7321,0.48692,1.10778,2.95961,1.08979,0.000259624,0.000259624,0.000259624
13,274.575,1.18532,1.7838,1.24097,1,0.12601,0.74849,0.48712,1.08344,2.95844,1.06044,0.0002624,0.0002624,0.0002624
14,294.578,1.12744,1.68683,1.13978,1,0.21808,0.76226,0.4921,1.03622,2.95481,1.01724,0.000262008,0.000262008,0.000262008
15,318.801,1.43156,1.6394,1.16121,1,0.44217,0.77683,0.51676,0.98234,2.96079,0.98685,0.000258448,0.000258448,0.000258448
16,341.243,1.03177,1.77961,1.05473,1,0.48765,0.79004,0.53171,0.99905,2.93736,0.98507,0.00025172,0.00025172,0.00025172
17,362.235,1.10603,1.85383,1.07543,1,0.55456,0.81385,0.5373,1.01806,2.89277,0.97825,0.000241824,0.000241824,0.000241824
18,385.519,0.98354,1.71269,0.96581,0.9627,0.6297,0.82921,0.5498,1.02178,2.85046,0.98397,0.00022876,0.00022876,0.00022876
19,409.407,1.15359,1.72699,1.10587,0.95456,0.51241,0.83121,0.56093,1.03087,2.80892,0.97849,0.000212528,0.000212528,0.000212528
20,430.858,0.96797,1.63975,0.98491,1,0.24488,0.84484,0.58643,1.03592,2.78247,0.97561,0.000193128,0.000193128,0.000193128
21,451.877,1.05032,1.54999,1.03902,1,0.22805,0.86014,0.58692,1.0183,2.7728,0.96302,0.00017056,0.00017056,0.00017056
22,473.582,1.04501,1.65748,1.00726,1,0.31655,0.86812,0.60185,0.99557,2.75393,0.95503,0.000144824,0.000144824,0.000144824
23,496.647,0.93019,1.54987,0.9883,0.929,0.31925,0.86094,0.59508,0.96997,2.73428,0.94273,0.00011592,0.00011592,0.00011592
24,517.849,0.95371,1.53669,0.97359,0.93817,0.37033,0.86281,0.60732,0.96136,2.68908,0.93523,8.3848e-05,8.3848e-05,8.3848e-05
25,538.323,0.88197,1.4694,1.00228,0.93948,0.37898,0.87905,0.61546,0.97168,2.64213,0.93848,4.8608e-05,4.8608e-05,4.8608e-05
